iter	Passed	Remaining
0	1	169
1	3	158
2	4	153
3	5	142
4	7	138
5	8	140
6	10	142
7	12	138
8	13	135
9	14	132
10	15	129
11	17	126
12	18	125
13	20	124
14	21	123
15	23	121
16	24	119
17	25	117
18	27	115
19	28	114
20	29	112
21	31	110
22	32	108
23	34	107
24	35	106
25	37	106
26	38	105
27	40	103
28	41	102
29	43	101
30	44	99
31	46	98
32	48	97
33	49	96
34	51	95
35	52	94
36	54	92
37	55	91
38	57	89
39	58	88
40	60	86
41	61	85
42	63	83
43	64	82
44	66	81
45	68	80
46	69	78
47	71	77
48	72	75
49	74	74
50	75	72
51	76	71
52	78	69
53	80	68
54	81	66
55	82	64
56	84	63
57	85	61
58	87	60
59	88	59
60	90	57
61	94	58
62	96	56
63	98	55
64	100	53
65	101	52
66	103	50
67	104	49
68	105	47
69	107	45
70	108	44
71	109	42
72	111	41
73	112	39
74	114	38
75	115	36
76	117	35
77	118	33
78	120	31
79	121	30
80	123	28
81	124	27
82	125	25
83	127	24
84	128	22
85	130	21
86	131	19
87	132	18
88	134	16
89	135	15
90	136	13
91	138	12
92	139	10
93	140	8
94	141	7
95	143	5
96	144	4
97	146	2
98	147	1
99	148	0
